,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
1181,1181,14.710449846808077,0.0003860772630646974,7.671572908914188,0.252021463077677,1.3348839837954949,0.16291184705691358,1.5492490945122184,0.39575778068617584,0.16698470000957202,4.321018002617059,0.32021832545262086,0.27155542411430345,0.08881383261255388,0.980802867194874
2360,2360,14.871941359718782,0.00031103137834184665,7.461202204376298,0.14147236679508207,1.3775696013686198,0.22923307310906912,1.7296158831555344,0.9759594655897376,0.20909649117472676,2.2563242035789317,0.31132751588999175,0.3145316573592952,0.06975179231743112,0.9606672039276082
3109,3109,15.139357250676543,3.258413434142027e-05,7.290770221783482,0.1710999658859551,1.1677068148308865,0.2136099237256206,1.7637918897000446,0.19687363702519206,0.06121922871558836,1.47714818837568,0.29111786096313746,0.31048716643156277,0.07681684234902261,0.9505299267348869
3805,3805,15.223875259676417,0.00027632315816413996,8.052130082063199,0.1425455771040287,1.227061740147393,0.21615131391348502,1.7254847054400686,0.26451679864575034,0.1436982213062291,3.272286779964581,0.3497796372470882,0.32941408063487454,0.08116709804884976,0.9783058250790081
1174,1174,15.233097834557318,4.005186675728095e-05,8.02944948775049,0.24606268539078668,1.133456967434251,0.14360661033023453,1.3438809748038345,0.3969936372368675,0.20883688713061788,3.777470399124359,0.28945267285809106,0.30462695605274737,0.07323134550399926,0.9989728825027147
1070,1070,15.301213321261384,0.0011933301335715716,7.790631789663101,0.1943795816819921,1.5222561475997287,0.14238327048330682,1.054527091364503,0.30098117860320306,0.1631245070804021,2.6800854936987544,0.26342039744446283,0.2756589991251257,0.07591289976589488,0.9439431223434738
4887,4887,15.369037157108181,0.00048720672649693266,5.857266894066326,0.23945930746274166,2.1895240473473314,0.24006670220681559,1.0145681051893198,0.2775621554936124,0.14530427605513127,2.2433892698316003,0.4067663242440468,0.35055758587992675,0.07005568624159673,0.9350026229328297
4805,4805,15.421887095544896,8.060883162675208e-06,6.018953684153286,0.08054047478398757,1.2827364004225121,0.24212824237730587,1.0090965266123995,0.3260957813678336,0.11021120049279291,1.5861279438276514,0.3831453823414978,0.3626718992861291,0.07310050606238191,0.928300328639194
1374,1374,15.511078529765664,0.00034757782540783123,7.336088912578495,0.1576579997249256,1.207562113344506,0.20867395879613243,1.5820922407414397,0.42971606847143223,0.09831212241112328,2.292742723491523,0.3122449715762208,0.28456944645046267,0.0743825569294573,0.9689805742284758
2025,2025,15.513553954541237,0.00048780137973013774,7.199083363327939,0.2066663538797933,1.0063296751784467,0.23358751675680597,1.375657343320269,0.27960335395722463,0.19058607629807833,2.7808889398045915,0.5987004215509055,0.24435173834899931,0.0827140408138198,0.966758384356065
4118,4118,15.564910055477128,0.0005554273209072863,6.832813555208161,0.2622297554134551,1.7374510745126464,0.09785189807677885,1.9643348508567162,0.24778171472756955,0.16184483328972973,3.0725277743004478,0.41058098248897,0.19968227083074153,0.09595217353210107,0.9672278365711874
3955,3955,15.647608783310345,6.938532601312475e-05,6.900259035837676,0.28794867498984844,1.1817179794185888,0.1210168802716003,1.6741924251597573,0.39156501817474726,0.1021004434210003,2.6073537712646617,0.2697581813582605,0.28828562280671155,0.07909321072944339,0.9613236484515021
1545,1545,15.684036086411181,7.929930888334085e-05,6.66806396767156,0.2169912924737898,1.7260504354164938,0.15599999181740554,1.447514134671499,0.3816484208591491,0.16138186870187415,2.465983832946968,0.34818051430996333,0.26343078454021324,0.08857833935368045,0.9772373610453985
3238,3238,15.775822739269397,0.00046118992070040457,8.6154196351125,0.21007055163670696,1.4436237888404926,0.1544355717606098,1.4499020002145109,0.4010465004609549,0.01631839921779476,3.0174782815079118,0.3161607158233864,0.28677512136320643,0.10638208097929511,0.9316267340388151
2339,2339,15.826357425516493,0.0003502228208839753,5.71927328450846,0.09482657412683956,1.003204244756904,0.22051713059261874,1.5439716052759374,0.3489524167684932,0.2042149375000185,2.452315536666905,0.34392344572861855,0.3043576239602521,0.06182999637644544,0.9256581776721479
4060,4060,15.884572998703675,0.0001567704697466132,6.46136994690807,0.18988824501012277,1.5482089281664386,0.11408023994576749,1.0019492722829537,0.9592471528608821,0.16877689343844618,2.2294937801131605,0.3846390626143017,0.30307921319874276,0.09677079614489492,0.9575504913824586
4846,4846,15.91099981368595,0.000553828346125466,6.020340077506452,0.22544901802878783,1.7364008759036778,0.25632777178703126,1.0003339856858295,0.3196957430412479,0.13846551635643156,2.081700027765016,0.41342441876375596,0.361413384341824,0.07943438867137254,0.9395992883873574
3036,3036,15.970581432693173,0.00016790756243312624,6.88121099133357,0.15369926355924196,1.3630756172839893,0.1484887870475306,1.755869730094588,0.15656872546586093,0.017655716371726207,2.272152673720869,0.2887017916925648,0.2678445183806683,0.07075536621298548,0.9338832409470874
4791,4791,16.109005804167015,3.700523809902951e-05,6.190021463384289,0.11301602064185298,1.540078284992353,0.21613105005752092,1.5262230007271618,0.33813402025230754,0.15172283090942182,2.0310649685824727,0.3525083332404469,0.35089228432755293,0.07712184679287011,0.9603344571523522
1215,1215,16.12858445799781,0.0009132203165208399,7.413248930251857,0.14845203603654983,1.5244715327845186,0.207440003494702,1.3728284604873806,0.34072129672349827,0.14340508796365786,2.97516021586365,0.2973243882857105,0.25175883530763615,0.10011478109096872,0.9574877991261618
1757,1757,16.16371365634615,0.00029624580850171506,6.3092150043796105,0.17800613673928026,2.392062125118116,0.20462862623962352,1.3589962592169749,0.4270718351267651,0.15824102314281038,2.7440589954669568,0.4014910210463114,0.2998459062404354,0.06703621334502716,0.9198725303476726
2478,2478,16.16505378350611,0.000145273908422848,6.535532389144512,0.18665838832723436,2.059133147494703,0.14676930485294154,1.8797802323890542,0.46366655831813425,0.08826234575143971,2.604208434196178,0.29410965153233826,0.31253697686807475,0.0668202211584196,0.8578286103638323
4116,4116,16.17931618301341,0.00015632107102967762,6.184420131433284,0.3616319372620891,1.680823452912925,0.15070547052237798,1.8452142928155033,0.2992574609890258,0.15161562224760358,3.0924079904154023,0.40153777138626523,0.18845707621819285,0.09042782197084873,0.9480835810957403
3804,3804,16.212700556116417,0.0001020496252764126,7.9181633056799585,0.5676515018144206,1.203252722252215,0.21096709871678682,1.0021912962497468,0.38070212661755715,0.1598546225430575,2.8845876232617287,0.33233007245534135,0.22039852884116756,0.07960893429798774,0.9820908547299523
2306,2306,16.231212664192487,0.00029905203129612765,6.800639751067739,0.22963597933518312,1.4938376415514811,0.2807626630195297,1.6137167036993196,0.37523552581285413,0.1675382327233981,2.4301572628572754,0.3272825941347185,0.29678162257832547,0.07892158667123363,0.912267677617439
