,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
3607,3607,12.462735380194808,0.67114696325869,3.8230007945932654,0.3395916930538615,4.674877368768285,0.00019249024226672753,2.024174928475626,0.5626818457069541,0.21346773082111578,1.9194298491995125,0.8024227559210225,0.08278109978458073,0.14377286956274204,0.458969799591776
4275,4275,12.967119845217033,0.6836600156868989,3.6795821244156057,0.38741634597580304,1.7380358489941319,0.00028849031028578553,2.350984769721565,0.6976700855854279,0.20155359070350126,4.11271208567518,0.7605817798356949,0.06563271466250557,0.15248088228692536,0.3810385283865599
3604,3604,13.439470028484893,0.6714878242962372,3.7830426148604013,0.3491002657246991,5.441901343057454,0.00012064052381359817,1.1882402833009902,0.7260990628165485,0.11915668155018966,3.5930025889985364,0.7966275301261179,0.07292626377230968,0.14727636792729268,0.4220340599714698
878,878,13.482426553476984,0.6933748181482039,3.0604664974628433,0.38402735252919834,3.831615061838497,0.04080935858120053,4.534427953626497,0.3821494024654871,0.11984320673768457,4.334035331674793,0.3652947087084215,0.06771501446675102,0.21619914023802234,0.959827793375716
4303,4303,13.483211595174016,0.6800680840654079,4.301537279584606,0.39585494073395233,2.458193234011563,0.02984240268237571,1.7062438756449858,0.5439027167358862,0.1924012374393321,4.159156893010374,0.7332726006986942,0.07593905779502785,0.11094900572897033,0.3656667275394007
2071,2071,13.613621913769249,0.6381578993043083,2.7813086357664885,0.46619806897808946,3.9361771391521607,0.0007677402062276212,4.82145285090207,0.4676626863396823,0.12455097033866097,4.101127411203228,0.10188647083867032,0.09133165468191973,0.17320584432680652,0.39141476605120923
2271,2271,13.685639026291758,0.7360136996001134,4.339936312632479,0.4089959683784295,5.0377114106739445,0.05043323586826611,1.685663327022466,0.3905507438471011,0.05102821896329656,3.1859560862974154,0.7471787632668119,0.06013608160643506,0.11825049080774035,0.939243223569791
4975,4975,13.806479923298872,0.7586325914327542,3.573747035730068,0.4035929860925056,2.1145683276084286,0.0187101910025692,2.2787201257976712,0.36884082958729897,0.20967335745617702,2.7065621331735494,0.44843822177541526,0.08342204181433997,0.11295867723269505,0.4014985935460044
3831,3831,13.815222727969868,0.711932373682791,3.477195010777982,0.32556066248936255,11.089678231154032,0.03611423005810311,2.741251365446514,0.4859295537045939,0.20571989656114434,3.842327635728922,0.7483497556894992,0.07825942378554104,0.1354403258366855,0.471298063631341
1434,1434,13.838663227730908,0.6779761197283549,3.0633500580778814,0.45858217823626196,11.520985971948729,0.36733638115849265,2.289607800018012,0.48250987469137835,0.09405780432573915,4.3241449763108,0.7605621505694772,0.07230870652417822,0.1591461095547862,0.9839122387082003
