,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
4919,4919,15.027201151204002,0.0002549204277311566,1.6088493655655964,0.13926247888893772,6.58332672764866,0.08194012269040861,9.728707186284549,0.6468818964546456,0.05900860608006012,3.089547223214156,0.5928154077617646,0.21022584414514645,0.08253715418738589,0.9813335922767322
2365,2365,15.2088829460062,0.00047501994535814975,1.6515483594827962,0.09751815723202481,4.860257661668512,0.01754648434566767,7.389534596419741,0.5812165460229807,0.06053986201412188,9.830046669694841,0.5612953075574995,0.3762780078867206,0.10558955943032947,0.9475181807246743
2756,2756,15.331297192836887,0.00012412997243357673,2.2612823140234872,0.34641065144640804,5.831382757395536,0.0966607160030907,9.70838963455139,0.6388029636573569,0.01884338578781053,2.223548691094241,0.41549432540098885,0.4044238472491517,0.015209590515072247,0.9112294425177511
2572,2572,15.382845484068419,0.0003015088756141202,1.7843478771836676,0.0741133464202873,6.322941697130499,0.00029565262290125264,5.594702900566505,0.6100381846120804,0.08614255595518486,1.197729128754969,0.5279755019514195,0.3847114172182295,0.03798562882719858,0.9834849802244034
2974,2974,15.515820165987478,0.00015019207266867972,3.648158704045221,0.0015071692452440673,6.630748253454888,0.03794057527132384,10.050126706271868,0.5557714614341174,0.040539556906791153,2.6792932277242665,0.5972401239977513,0.21342123147394815,0.04368278163491808,0.9227789679753307
4160,4160,15.530389719262297,0.00044605609979438425,2.399947511615461,0.08863202384261173,4.899424485480694,0.04884074618686406,10.213449749377318,0.5574138037568857,0.140700546471528,2.3204201592509563,0.6438991846445128,0.1400031477989454,0.0936393219423891,0.887016359140653
1837,1837,15.558823816898972,0.00027654135573296256,1.7215736074409054,0.02102981664611091,5.004293463703994,0.0006929957046465929,1.4175652820383455,0.587399058414327,0.24705217341801144,1.4362239345420202,0.5213590360007025,0.4097364850592297,0.057366776902460614,0.9585116482101923
3084,3084,15.593744546492818,5.3424805122779056e-05,4.019554209105039,0.022948083478678494,6.657349228572329,0.026490418691456928,10.111513932808094,0.5653422047730525,0.356721758205202,3.333635821367559,0.47023573450243455,0.21414153734144772,0.01889841566328449,0.9736501941863691
1682,1682,15.71655363236598,0.0006088833070546526,6.405672112514498,0.01709513984377299,5.624602068181563,0.0764760100721378,1.7276167249770245,0.5899545661169612,0.09929645148304278,2.5781308309227042,0.5566138965262935,0.4083596460368052,0.12544886364879806,0.9280839621405389
3105,3105,15.899035863542883,8.289357509141802e-05,3.975149620459835,1.686318068737369e-05,7.145089012575061,0.052860712733313595,10.296998669869575,0.5439593968790695,0.315866525564111,3.1703596695046583,0.43831571285005655,0.2227651690598186,0.015555720864048356,0.8333951324394866
