16,0.000335042,0.000612431,0.000453903,0.000334258,0.000396842,0.000893547,5.60E-06,0.000284912,0.000340796,0.000453115,0.000447549,0.000223774,0.000402767,0.000340777,0.000513494,0.00017322,0.001117614,0.000351632,0.000167831,0.000462485,0.000285215,0.000451623,5.60E-05,0.000235329,0.000956952,0.000184476,0.000558404,0.000452355,0.000726331,0.000167887,0.000395536,0.000111818,0.000615001,0.000111762,0.00106768,0.000960552,0.000235104,0.000614691,0.000334668,0.000290643,0.000284896,0.000223537,5.59E-05,0.000681322
20,0.047922242,0.059368435,0.055714764,0.030767728,0.068679206,0.12970026,0.0548641,0.05767837,0.07559816,0.07011197,0.04275259,0.033923186,0.06605522,0.04217528,0.05928774,0.036172006,0.10902143,0.074306585,0.029308958,0.028750338,0.02627136,0.07507972,0.034279656,0.05060965,0.1550394,0.03824208,0.07163659,0.03847576,0.11037284,0.06795707,0.04690463,0.03668165,0.06546088,0.03627746,0.09345676,0.1216565,0.070071094,0.113357075,0.05923411,0.055922937,0.070870966,0.050265454,0.030392878,0.09018732
100,0.071934335,0.07850717,0.06829289,0.056655154,0.10687835,0.14165986,0.0814415,0.0727064,0.10172615,0.079213165,0.06814065,0.06607877,0.09181194,0.061164442,0.09770601,0.045241952,0.14515339,0.09315272,0.047149673,0.06673683,0.047286473,0.08560946,0.06696147,0.059238095,0.15714966,0.050735272,0.09257008,0.054682773,0.12687187,0.072912164,0.07350491,0.06731961,0.08259843,0.05474266,0.110525526,0.14034666,0.08797223,0.14537728,0.056328863,0.080495216,0.09317011,0.06798346,0.05193427,0.11447998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age bin,mean,std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-20,0.063201418,0.029852564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vacc results below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.007283168,0.028646486,0.009951262,0.005069555,0.025413254,0.059391897,0.020455202,0.014174337,0.018568676,0.021503314,0.006415909,0.013957327,0.01783382,0.006848737,0.034191504,0.005911649,0.077124484,0.008404124,0.009560384,0.005541888,0.00219757,0.008666867,0.007506277,0.003836553,0.073900655,0.006454455,0.015077072,0.000929576,0.044069633,0.016800134,0.01498543,0.004871534,0.005070721,0.005888078,0.03448437,0.055784676,0.01287904,0.052465145,0.007028748,0.009139269,0.017713098,0.006438959,0.01068191,0.040225483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diff:,0.040639074,0.030721949,0.045763502,0.025698173,0.043265952,0.070308363,0.034408898,0.043504033,0.057029484,0.048608656,0.036336681,0.019965859,0.0482214,0.035326543,0.025096236,0.030260357,0.031896946,0.065902461,0.019748574,0.02320845,0.02407379,0.066412853,0.026773379,0.046773097,0.081138745,0.031787625,0.056559518,0.037546184,0.066303207,0.051156936,0.0319192,0.031810116,0.060390159,0.030389382,0.05897239,0.065871824,0.057192054,0.06089193,0.052205362,0.046783668,0.053157868,0.043826495,0.019710969,0.049961837
ratio:,6.579861863,2.072450876,5.598763654,6.069117859,2.702495556,2.183803962,2.682158798,4.069211138,4.071273579,3.260519286,6.663528114,2.430493031,3.703929949,6.158110882,1.733990409,6.118767849,1.413577432,8.841681179,3.065667446,5.187823716,11.95473182,8.66284437,4.566798451,13.19143773,2.097943516,5.924912328,4.751359548,41.39064796,2.504510078,4.045031427,3.130015622,7.52979498,12.90957955,6.161171778,2.710119396,2.18082292,5.440707848,2.160616825,8.427405564,6.118972644,4.001048603,7.806456118,2.845266382,2.242044427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age bin,mean ratio,std of ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-20,5.849124238,6.211567737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
