,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
3256,3256,14.441102921294496,0.00025344144172975903,5.704855063997158,0.018190028523837942,4.679884887720716,0.16465522175179476,11.280234631933556,0.05924650628795896,0.05997140507031257,6.107371689515737,0.789351216000584,0.10253642438144575,0.08138556469563549,0.5068757689008813
3808,3808,14.517394078422285,9.551442745780019e-05,6.981042839872799,0.10529898214661107,3.873723733284939,0.21126647621226752,11.664134414665318,0.06628148962199623,0.09734700555834945,7.327764137724233,0.49422918209116784,0.13270507478035806,0.0479087089989948,0.05706849799299846
2067,2067,14.979649679529384,0.00012638642462433106,5.934240167906894,0.09734277726484586,1.8236709554514872,0.16328684723706,11.023634457890045,0.2502418360308077,0.3034623913319807,6.17817110579253,0.10043100049573384,0.10817704648499847,0.1043805825238874,0.03700133299502581
3806,3806,15.06430583293547,2.6703094226166872e-05,7.138075032787512,0.0978696494366687,3.91877690940944,0.21348427347976268,11.661738584272364,0.06775943646439989,0.10888091178042678,7.322512758252497,0.5232350230267592,0.11694892724425594,0.7975353348224753,0.04245400322660328
2917,2917,15.081618401306232,9.839132806765093e-05,5.990004462180626,0.03667138246210431,6.344972436513839,0.22993262640102846,11.993627513043906,0.14289406039677188,0.06483363469374147,6.4959618156080365,0.3448934103870095,0.10122134671005624,0.08719070678678567,0.5944456593428836
2825,2825,15.181418814615977,0.0005331451715319259,6.604672013980998,0.04667149952692673,4.641212604692405,0.22820894647774126,11.823024633999761,0.1385739056426346,0.013919313201381525,6.673809614503964,0.4727739455256317,0.10788099080799321,0.10654409554510297,0.5548919484737573
6567,6567,15.350555146592017,0.00032030210606485347,7.4235752259837335,0.12671215812304132,1.4062708554817345,0.2274774167620497,11.046911684267826,0.017015623242993584,0.170330669503206,4.933590557229064,0.49055972988060303,0.1154869109481265,0.08403771780709024,0.17323875196992805
2811,2811,15.356281004618841,0.00012882786506363588,6.664907461442411,0.0676406787294247,4.969557135660825,0.22143285537291973,11.991407513636984,0.11305782477138289,0.015296553569468813,6.723941686954559,0.49627389311722026,0.11394838866186743,0.07694973856746815,0.5537755364716594
6873,6873,15.469298347465829,8.482605297117408e-05,5.6512232435804615,0.19520240785807574,1.2518049331275871,0.21428500711105083,11.586302383059657,0.18017334320857117,0.15121184235451246,5.861934111221759,0.46375972070764054,0.11368262935684958,0.05190577512527215,0.033007100670474646
4115,4115,15.476969949390185,0.0003214673047428661,6.990820262971395,0.08072826796127769,4.697520055919731,0.2081537270610714,11.638799071625918,0.15075929525415355,0.1387668352967996,6.385078864976391,0.4395731433068531,0.12349422587493067,0.09114240487520502,0.5195357163273457
6583,6583,15.557585134742517,0.0004022616545812614,7.770365464938793,0.15222351860868086,1.2126651695745239,0.2577446695985842,10.836958358905592,0.006068721172188443,0.18356859420666669,5.468350594527957,0.4812721081891466,0.12403361319211673,0.07955652089697282,0.21386776313129507
2495,2495,15.57650270509341,0.0009695519086719789,6.576886069648482,0.0929252633429187,5.287968511011045,0.1488918318993647,11.88493403852728,0.06000757350612482,0.04945086480411104,5.224097588587779,0.9992425556535813,0.09882160533688526,0.11775765236424691,0.5925450081354358
4149,4149,15.609859293198339,0.00022828080242769816,6.933415437347512,0.0760593409948314,4.100791314581806,0.26300848645867225,11.455764441444858,0.12845063178017768,0.12409166653819322,6.81266362882875,0.3832383999221858,0.11692417384985183,0.07826852673938023,0.5263796801285873
5577,5577,15.656986598294779,0.00046405070578003725,5.469002262384,0.04306329802063539,4.194050707859896,0.2150719441232186,11.996052374046977,0.19488467964528433,0.1017048779829095,7.397584711299313,0.14284602368617802,0.12689892191724284,0.06592058372889016,0.5653213781402273
5119,5119,15.740057253344661,0.00024119650896573102,6.030319723349993,0.12799990824714236,3.8341790749869378,0.24674230658745366,11.998303378532915,0.11492156058251715,0.1001544287439256,6.088770871079115,0.5571399066095015,0.11107857295097368,0.16113242853992238,0.05028162374686481
5760,5760,15.755094581999398,0.0003320721521958313,6.178400687231806,0.05943533675419222,4.042811943259816,0.2309923173291598,11.199467493976034,0.15654149098819503,0.1846775709235905,5.7482425840717015,0.8132761007341758,0.09627328573004812,0.06446555257668254,0.06837408354562641
1890,1890,15.809908353143028,0.00014679932438591041,8.60727420571079,0.09595244163018668,3.3913928937871995,0.2356145520979597,11.994993920977723,0.2909753883614249,0.24429307273846107,6.547058468723858,0.07941147637109584,0.10149666774699867,0.07077943043008367,0.5859198161954776
1278,1278,15.872145336451835,0.00023919161109391495,7.261603292448797,0.16224633960413168,2.0294211035320457,0.2906595021285025,11.113055777121636,0.21017029261011136,0.17996491460359546,6.090056975126908,0.021319805632754603,0.08660804581018909,0.08281696774549448,0.19652336652204924
3641,3641,15.874388143840738,0.00015974435286027889,7.543142541448339,0.08923863814077991,4.92402713761533,0.19961404166351976,11.997527949207942,0.17173518913592012,0.062411957897977786,6.070586126152103,0.9366635373138218,0.12376143887797192,0.08769354827983933,0.12138260577557639
6148,6148,15.90281532196849,0.0004988603193320522,6.130122082003072,0.04540195004122129,3.7788910556000603,0.1219375324097233,11.795610910907767,0.15989640553435677,0.08910901193204075,5.507687725574639,0.4291945681647249,0.09183462403666764,0.10420055971205383,0.5148491970025451
854,854,15.919170327025599,0.0007023503429728463,7.703353649414987,0.04661409341469998,8.131257080610142,0.22363839607499353,10.2729490271711,0.13647090908445705,0.05094245358241847,5.903748141976488,0.7953467849709766,0.14452848924734094,0.0944527595693766,0.517900711371231
