,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,beta,f_cross_layer,m_cross_layer
3804,3804,16.779141184833918,0.0006143344110315055,6.044369370816478,0.5598704739246608,1.4389196260399661,0.04118239867029638,8.800795465448884,0.562952104670838,0.46102480877531676,0.05249072007180184,0.7415641451013398
2754,2754,18.194097027361057,0.0004447292093342332,6.748272507839985,0.5775420316783921,1.3425954061526422,0.06165004280956207,7.928721272546702,0.2720005573675441,0.48143990244516,0.03161373890813242,0.6699386256130707
2542,2542,18.718001514882708,0.0004944040319517732,2.896447694451367,0.5456941166774889,1.740951153116962,0.043322783389687744,7.720786495501138,0.2760776273823363,0.4554153587275064,0.03161135456255828,0.7091559293818374
1536,1536,19.008187612405933,0.0007050677727162809,2.709032948352451,0.5615609550075169,2.085120367740001,0.06635800446750692,7.957247047829345,0.08010239274171115,0.39769773885523035,0.034585373673598485,0.734471004307555
1684,1684,19.031779219546564,9.891722546360163e-05,7.463099229857088,0.5331529621052831,1.297471660664717,0.043527874167403655,8.425313028069153,0.2692591369206833,0.4987027847053584,0.03913038039863376,0.6902036645532884
4787,4787,19.101643203438883,0.00026535779312681745,6.723119874834893,0.6228590813699492,1.8904101320791964,0.047344064478036095,8.201049871288062,0.3004077322508345,0.48228037380136807,0.03077907535869866,0.6745998647530818
2538,2538,19.118669490456295,0.00026660533798068017,6.190120829911995,0.540844169336744,1.7148450470431698,0.039944488273916834,8.83433149825779,0.28025814381606057,0.4551048389173333,0.03383220645122124,0.7145602761267669
4158,4158,19.147869792705855,0.00035300297682754403,2.960652750055605,0.6413609073393378,1.7633113750542864,0.00018466513160734013,1.5935544732945603,0.23434267986040302,0.49976044124148483,0.03180496597565697,0.781208722047078
4319,4319,19.17854969742444,0.0002572170700096297,2.677514584778433,0.7399254416124595,2.045748558844602,0.0346791444419739,2.1293645217281796,0.23879190657665783,0.49991609500569695,0.038103195932709444,0.7259577218008624
4114,4114,19.365004996958767,0.00015185914075099838,6.6089660065601725,0.6187294060106011,1.1566520558152533,0.03903336194015475,1.459819572061078,0.23018454981196773,0.4994281803191306,0.021564483466680696,0.7325052798673024
1870,1870,19.39770616036226,0.0005084025689318682,7.186493662657992,0.741591943031823,1.2586403474030727,0.032387174250557274,8.399407116068268,0.2402642697680125,0.49132623397740843,0.030609452335764547,0.6856374389917594
2647,2647,19.44996821772765,0.0002988322647760725,2.4423436878690326,0.5320557143739043,1.3834900861727322,0.1429456055254475,8.725342105481168,0.281258307150245,0.48436956210432913,0.016813845222672923,0.7104752439660033
3194,3194,19.45047919043658,0.000497415295404189,6.123296921406188,0.7640434489605754,1.7770494525146299,0.048717096636547684,8.146034261321223,0.2156201242687722,0.48400163940689384,0.03177756598984878,0.6851256636337713
3549,3549,19.54962596737118,8.267604038234217e-05,5.750473195788347,0.888361928313778,1.781044002665064,0.019193281620730453,9.031504215496227,0.11540442506859042,0.49233895404426414,0.0005402382660513461,0.7410874976861241
1871,1871,19.68563502742117,0.000641945281487259,6.322875874025689,0.49169193991479726,1.2105218577328087,0.036451460365187385,8.409092289265601,0.23839955650821149,0.48994284902309904,0.048291563909749396,0.6848045349419407
1342,1342,19.687512322996817,0.002401800955270766,5.140710251370528,0.5629924980114873,2.0108763191019583,0.07933223033283737,7.323099836537527,0.1968606861404922,0.42264280221922956,0.0681001565948352,0.7435843527613013
3534,3534,19.689341459477276,4.946671028838433e-05,6.118249981357732,0.52629029012638,1.538502571684054,0.05463555514385404,9.015263478914013,0.10948198782671882,0.48375038233826,0.016312736796096527,0.7104920709175627
2922,2922,19.749909545123266,0.00018652084744457336,8.201886809949446,0.5012425070979807,1.8779794216438768,0.060518903086642206,8.0006904711704,0.2457198796913263,0.4757062629369802,0.017707845962591482,0.7735435324805784
3368,3368,19.760569525244772,0.00017750296740203788,6.216162719247837,0.5065881164442168,1.4788567136401118,0.10957089230383203,8.317277220138267,0.2865597972882714,0.4726466862245176,0.030132047713990008,0.6726916024615914
