,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
2116,2116,14.746852082970253,0.0001076597541929111,5.8210607233025655,0.5046820942238605,3.2770137826774883,0.05146993960374664,1.4089251108631962,0.6942006567552667,0.035220691483620614,9.863437151805782,0.784091162809445,0.2937515430554405,0.037416067107969214,0.8779698838312014
1304,1304,15.367412134057645,0.0006166337146614736,8.006124678756937,0.02764963280847316,5.158135510099393,0.09706174731179312,5.300062503364685,0.6350532693538973,0.3969740415085981,11.869140096474904,0.016566030148607566,0.24734526327851125,0.06432529408497942,0.4591052870374817
4237,4237,15.435674069928378,6.536471005035276e-05,5.824154412486848,0.20640972383950876,5.083530062134498,0.09131235653435664,2.4095433341176893,0.6363169555982824,0.373827525368479,10.39837403455415,0.07296872259824619,0.21020881523830603,0.036858288563304434,0.9134648711414401
822,822,15.848732562367019,0.0012191388299114645,8.80558740090567,0.15823715056378554,1.5916182871929037,0.07604736851187907,1.6800018936489258,0.28863153907207234,0.20404459990041646,8.89533583341256,0.11543883819951062,0.36499727158684275,0.05951102977453116,0.5762797985518656
3517,3517,15.934448126937925,0.00038852712182224126,9.207301575879846,0.1832850295701095,2.001689077608766,0.09127728562398643,5.253293246188283,0.508835885550423,0.30917033876164535,8.255674941722692,0.048703675455979936,0.22493892576859179,0.05600741184894381,0.9443189731505927
4396,4396,15.955840402742977,0.00010385728264331667,5.731863875915275,0.01757099552082717,4.28074142053199,0.0936777988523963,1.4792699143476216,0.6937435057948992,0.33396666702864514,10.928958773714525,0.051819189029195335,0.25122132184205537,0.040362963883279035,0.9251657383935529
987,987,15.98798961676329,0.0006988166762211857,9.128243693837646,0.16076998313526983,1.890202519785915,0.0016156245824480026,5.388441706766271,0.31298508102837636,0.13419908842573075,9.752630407617568,0.025150800069703213,0.38317508712913284,0.036006186277100484,0.5735330243184815
1053,1053,16.040061142497343,0.00037438155210845495,8.681454401343004,0.05521186057374777,3.4274364257156726,0.24412285695037825,1.9196854380383144,0.8146285000367051,0.2869390077230324,10.198703469866404,5.756187247199507e-07,0.2379517681009416,0.064780589024713,0.9336736414957149
4620,4620,16.0413454831142,0.0003084702986391058,6.064760302362532,0.02276926437979821,3.7960024862880917,0.36710283926665815,1.6417503174693806,0.054202409934280105,0.3664233835355815,10.776406823288172,0.016188176395879147,0.3405546491180885,0.02902803840837094,0.9107511970766132
2787,2787,16.128343639767728,0.000525576278852978,5.490363362462583,0.4839663379449257,1.5323065691134685,0.10194314392718423,1.9400703761361942,0.663744857303899,0.1632908136565583,9.895435468329703,0.055334398220204306,0.21957410051015147,0.0589162496491754,0.9130591837925299
