year,name,age,sex,genotype,value
2012,cancers,0,female,total,0
2012,cancers,15,female,total,2
2012,cancers,20,female,total,48
2012,cancers,25,female,total,371
2012,cancers,30,female,total,306
2012,cancers,35,female,total,287
2012,cancers,40,female,total,272
2012,cancers,45,female,total,231
2012,cancers,50,female,total,164
2012,cancers,55,female,total,179
2012,cancers,60,female,total,120
2012,cancers,65,female,total,126
2012,cancers,70,female,total,104
2012,cancers,75,female,total,106
2012,cancers,80,female,total,73
2012,cancers,85,female,total,60
2012,cancers,90,female,total,33
