year,name,age,sex,genotype,value
2014,cancers,0,female,total,1.19
2014,cancers,15,female,total,1.19
2014,cancers,20,female,total,97.58
2014,cancers,25,female,total,477.19
2014,cancers,30,female,total,390.32
2014,cancers,35,female,total,374.85
2014,cancers,40,female,total,324.87
2014,cancers,45,female,total,295.12
2014,cancers,50,female,total,204.68
2014,cancers,55,female,total,188.02
2014,cancers,60,female,total,130.9
2014,cancers,65,female,total,142.8
2014,cancers,70,female,total,101.15
2014,cancers,75,female,total,123.76
2014,cancers,80,female,total,117.81
2014,cancers,85,female,total,79.73
2014,cancers,90,female,total,30.94
