year,name,age,sex,genotype,value
2016,cancers,0,female,total,0
2016,cancers,15,female,total,1.19
2016,cancers,20,female,total,69.02
2016,cancers,25,female,total,405.79
2016,cancers,30,female,total,414.12
2016,cancers,35,female,total,351.05
2016,cancers,40,female,total,337.96
2016,cancers,45,female,total,314.16
2016,cancers,50,female,total,223.72
2016,cancers,55,female,total,207.06
2016,cancers,60,female,total,190.4
2016,cancers,65,female,total,152.32
2016,cancers,70,female,total,127.33
2016,cancers,75,female,total,104.72
2016,cancers,80,female,total,103.53
2016,cancers,85,female,total,51.17
2016,cancers,90,female,total,33.32
